Tempo(s),Setpoint - Temperatura(C),Sensor - Temperatura(C),IAE - Erro absoluto,ISE - Erro Quadratico
0,"60,0000000","60,75","0,75","0,5625"
1,"60,3333333","60,75","0,4166666667","0,1736111111"
2,"60,6666667","60,75","0,08333333333","0,006944444444"
3,"61,0000000","60,75","0,25","0,0625"
4,"61,3333333","61,00","0,3333333333","0,1111111111"
5,"61,6666667","61,00","0,6666666667","0,4444444444"
6,"62,0000000","61,00",1,1
7,"62,3333333","61,25","1,083333333","1,173611111"
8,"62,6666667","61,25","1,416666667","2,006944444"
9,"63,0000000","62,00",1,1
10,"63,3333333","62,00","1,333333333","1,777777778"
11,"63,6666667","62,00","1,666666667","2,777777778"
12,"64,0000000","63,75","0,25","0,0625"
13,"64,3333333","63,75","0,5833333333","0,3402777778"
14,"64,6666667","63,75","0,9166666667","0,8402777778"
15,"65,0000000","65,50","0,5","0,25"
16,"65,3333333","65,50","0,1666666667","0,02777777778"
17,"65,6666667","65,50","0,1666666667","0,02777777778"
18,"66,0000000","67,00",1,1
19,"66,3333333","67,00","0,6666666667","0,4444444444"
20,"66,6666667","67,00","0,3333333333","0,1111111111"
21,"67,0000000","67,50","0,5","0,25"
22,"67,3333333","67,50","0,1666666667","0,02777777778"
23,"67,6666667","67,50","0,1666666667","0,02777777778"
24,"68,0000000","66,75","1,25","1,5625"
25,"68,3333333","66,75","1,583333333","2,506944444"
26,"68,6666667","66,75","1,916666667","3,673611111"
27,"69,0000000","67,50","1,5","2,25"
28,"69,3333333","67,50","1,833333333","3,361111111"
29,"69,6666667","67,50","2,166666667","4,694444444"
30,"70,0000000","68,50","1,5","2,25"
31,"70,3333333","68,50","1,833333333","3,361111111"
32,"70,6666667","68,50","2,166666667","4,694444444"
33,"71,0000000","69,50","1,5","2,25"
34,"71,3333333","69,50","1,833333333","3,361111111"
35,"71,6666667","69,50","2,166666667","4,694444444"
36,"72,0000000","71,25","0,75","0,5625"
37,"72,3333333","71,25","1,083333333","1,173611111"
